Produto,Quantidade,Categoria,Valor,Marca
Shampoo anticaspa,5,Higiene,10.90,L'Alura
Arroz integral,8,Alimento,15.99,Alufood
Fone de ouvido,6,Eletrônico,150.0,Alushop
Mouse sem fio,4,Eletrônico,90.0,Alushop
Macarrão parafuso,7,Alimento,5.59,Alufood
Sabonete antiacne,9,Higiene,3.90,L'Alura
Headset,7,Eletrônico,390.0,Alushop
Notebook com SSD,3,Eletrônico,1299.0,Alushop
Condicionador,4,Higiene,8.50,L'Alura
Feijão vermelho,5,Alimento,15.90,Alufood
Molho de tomate,7,Alimento,2.50,Alufood
Mousepad 23x16 cm,6,Eletrônico,10.0,Alushop
Creme dental 70g,5,Higiene,3.0,L'Alura
Cotonete 75 un,3,Higiene,3.0,L'Alura
Fio dental,8,Higiene,5.15,L'Alura